Tournament,Team 1,Team 2,Time Match,Score
التصفيات المؤهلة للأولمبياد - كرة طائرة,البرازيل,أوكرانيا,02:30,3 - 2
الدوري المصري,زد,بلدية المحلة,16:00,3 - 3
الدوري المصري,سموحة,المقاولون العرب,19:00,- - -
الدوري السعودي,ضمك,الحزم,15:00,4 - 1
الدوري السعودي,التعاون,الطــائي,18:00,2 - 0
الدوري السعودي,الرياض,الشباب,18:00,1 - 0
الدوري السعودي,الاتفـــــاق,الفتح,21:00,- - -
الدوري الأوروبي,فرايبورج,وست هام يونايتد,19:45,- - -
الدوري الأوروبي,باكا توبولا,أوليمبياكوس,19:45,- - -
الدوري الأوروبي,مارسيليا,برايتون,19:45,- - -
الدوري الأوروبي,ايك اثينا,أياكس امستردام,19:45,- - -
الدوري الأوروبي,ريال بيتيس,سبارتا براج,19:45,- - -
الدوري الأوروبي,أريس ليماسول,جلاسكو رينجرز,19:45,- - -
الدوري الأوروبي,سبورتينج لشبونة,أتالانتا,19:45,- - -
الدوري الأوروبي,راكوف تشانستوخوفا,شتورم جراتس,19:45,- - -
الدوري الأوروبي,ليفربول,سان جيلواز,22:00,- - -
الدوري الأوروبي,تولوز,لاسك لينز,22:00,- - -
الدوري الأوروبي,فياريال,رين,22:00,- - -
الدوري الأوروبي,مكابي حيفا,باناثينايكوس,22:00,- - -
الدوري الأوروبي,روما,سيرفيت جنيف,22:00,- - -
الدوري الأوروبي,سلافيا براج,شيريف تيراسبول,22:00,- - -
الدوري الأوروبي,هاكين,كاراباج اجدام,22:00,- - -
الدوري الأوروبي,مولده,باير ليفركوزن,22:00,- - -
البطولة العربية للأندية لكرة السلة,الأهلي القطري,الاتحاد السكندري,14:00,52 - 127
البطولة العربية للأندية لكرة السلة,نادي مجد طنجة,نادي الاتحاد الليبي,14:00,70 - 68
البطولة العربية للأندية لكرة السلة,نادي السيب,نادي دينامو,16:30,65 - 96
البطولة العربية للأندية لكرة السلة,نادي جمعية سلا,نادي الفتح,16:30,90 - 80
البطولة العربية للأندية لكرة السلة,نادي خدمات البريج,الكويت الكويتي,19:00,- - -
البطولة العربية للأندية لكرة السلة,دجلة الجامعة العراقي,بيروت اللبناني,19:00,- - -
دوري المؤتمر الأوروبي,إف سي أستانا,فيكتوريا بلزن,17:30,0 - 0
دوري المؤتمر الأوروبي,أولمبيا ليوبليانا,سلوفان براتيسلافا,19:45,- - -
دوري المؤتمر الأوروبي,كي كلاكسفيك,ليل,19:45,- - -
دوري المؤتمر الأوروبي,بريدابليك,زوريا لوهانشك,19:45,- - -
دوري المؤتمر الأوروبي,جينت,مكابى تل ابيب,19:45,- - -
دوري المؤتمر الأوروبي,جليمت,كلوب بروج,19:45,- - -
دوري المؤتمر الأوروبي,بشكتاش,لوجانو,19:45,- - -
دوري المؤتمر الأوروبي,بالكاني,دينامو زغرب,19:45,- - -
دوري المؤتمر الأوروبي,الكمار,ليجيا وارسو,22:00,- - -
دوري المؤتمر الأوروبي,استون فيلا,زرينيسكي موستا,22:00,- - -
دوري المؤتمر الأوروبي,فيورنتينا,فيرينكفاروسي,22:00,- - -
دوري المؤتمر الأوروبي,تشوكاريتشكي ستانكوم,جينك,22:00,- - -
دوري المؤتمر الأوروبي,باوك سالونيكا,آ. فرانكفورت,22:00,- - -
دوري المؤتمر الأوروبي,أبيردين,هلسنكي,22:00,- - -
دوري المؤتمر الأوروبي,نورشيلاند,لودوجوريتس,22:00,- - -
دوري المؤتمر الأوروبي,ترنافا,فنربخشة,22:00,- - -
الدوري المغربي,المغرب التطواني,الفتح الرباطي,22:00,- - -
